Blue Shell,Demitri,Pat,Chris,Joe,Shane,Mike,Kevin,Matt,Jason,Karla,Callum,John,Danny,Henry
Blue Shells Hit,152,208,100,9,3,57,27,0,0,0,0,0,2,1
Blue Shells Dodge,2,3,5,2,0,2,0,0,0,0,0,0,0,0
