Name,KVR,Blue Shells,Blue Dodges,Shock Dodges,MVP Races,Kart Score,GP Wins
Demitri,20661,132,10,5,83.0,8578.0,14
Pat,20684,188,6,12,342.75,12849.5,37
Chris,20946,130,3,9,64.0,8041.0,12
Joe,9199,0,0,3,0.0,514.0,0
Shane,6768,0,0,0,0.0,0.0,0
Mike,15517,24,0,9,1.0,4161.0,0
Kevin,21254,200,3,8,242.0,13140.0,35
Matt,5513,0,0,0,0.0,0.0,0
Jason,5000,0,0,0,0.0,0.0,0
Karla,7423,0,0,0,0.0,61.0,0
Callum,5225,0,0,0,0.0,0.0,0
