Blue Shell,Demitri,Pat,Chris,Joe,Shane,Mike,Kevin,Matt,Jason,Karla,Callum,John,Danny,Henry
Blue Shells Hit,891,1049,746,36,8,96,915,0,1,7,0,2,2,1
Blue Shells Dodge,31,31,25,3,0,3,22,0,0,0,0,0,0,0
