Blue Shell,Demitri,Pat,Chris,Joe,Shane,Mike,Kevin,Matt,Jason,Karla,Callum,John,Danny,Henry
Blue Shells Hit,28,49,33,2,0,11,0,0,0,0,0,0,0,0
Blue Shells Dodge,0,1,3,1,0,0,0,0,0,0,0,0,0,0
