Blue Shell,Demitri,Pat,Chris,Joe,Shane,Mike,Kevin,Matt,Jason,Karla,Callum,John,Danny,Henry
Blue Shells Hit,739,841,646,27,5,39,888,0,1,7,0,2,0,0
Blue Shells Dodge,29,28,20,1,0,1,22,0,0,0,0,0,0,0
